'recipe_id', 'measurement', 'unit', 'ingredient'
1,1,pound,"ground chicken breast"
1,1,,"red onion, halved and thinly sliced"
1,0,cups,"¼ sliced scallions, white parts only"
1,1,,"lime, juiced"
1,0.125,cups,"chopped fresh cilantro"
1,0.0625,cups,"finely chopped fresh mint (Optional)"
1,0.042,cups,"minced fresh ginger"
1,0.021,cups,"lemongrass paste (Optional)"
1,0.021,cups,"fish sauce, more to taste"
1,0.021,cups,"red pepper flakes, more to taste"
1,0,,"salt to taste"
2,1,,"(9-inch) deep-dish unbaked pie crust"
2,6,,"slices bacon"
2,1,,"onion, chopped"
2,1,cups,"½ milk"
2,3,,"large eggs, beaten"
2,0.0,cups,"¼ salt"
2,1,cups,"½ shredded Swiss cheese"
2,0.0625,cups,"all-purpose flour"
3,1,cups,"rolled oats"
3,1,cups,"¼ boiling water"
3,0,cups,"½ butter"
3,1,cups,"white sugar"
3,1,cups,"packed brown sugar"
3,2,,"large eggs"
3,1,cups,"⅓ all-purpose flour"
3,0.021,cups,"baking soda"
3,0.0,cups,"½ salt"
3,0.021,cups,"ground cinnamon"
3,0.0,cups,"½ ground nutmeg"
3,0.021,cups,"vanilla extract"
3,0.375,cups,"melted butter"
3,1,cups,"½ packed brown sugar"
3,0,cups,"¾ evaporated milk"
3,1,cups,"½ flaked coconut"
3,1,cups,"½ chopped walnuts"
3,0.021,cups,"vanilla extract"
4,2,,"large eggs"
4,0.125,cups,"Italian seasoning"
4,0.042,cups,"chopped fresh basil"
4,0.021,cups,"salt"
4,0.021,cups,"ground black pepper"
4,0.021,cups,"garlic powder"
4,2,pounds,"ground beef"
4,0,cups,"½ panko bread crumbs"
5,1,,"(15 ounce) can pumpkin puree"
5,1,,"(14 ounce) can sweetened condensed milk"
5,2,,"egg yolks"
5,0.021,cups,"ground cinnamon"
5,0.0,cups,"½ ground ginger"
5,0.0,cups,"½ ground nutmeg"
5,0.0,cups,"½ salt"
5,2,,"egg whites"
5,1,,"(9 inch) unbaked pie shell"
5,0.125,cups,"all-purpose flour"
5,0,cups,"¼ packed brown sugar"
5,0.021,cups,"ground cinnamon"
5,0.125,cups,"butter, chilled"
5,1,cups,"chopped walnuts"
6,3,cups,"sifted all-purpose flour"
6,0.021,cups,"½ baking powder"
6,0.0,cups,"½ salt"
6,1,cups,"white sugar"
6,1,cups,"butter"
6,1,,"egg, lightly beaten"
6,0.1875,cups,"heavy cream"
6,0.021,cups,"vanilla extract"
7,1,cups,"white sugar"
7,1,cups,"butter, softened"
7,2,,"large eggs"
7,0,cups,"½ orange juice"
7,2,cups,"all-purpose flour"
7,0.021,cups,"baking powder"
7,1.5,cups,"golden raisins"
7,1.0,cups,"halved glace cherries"
8,4,,"large Yukon Gold potatoes, quartered"
8,0.375,cups,"butter, divided"
8,1,,"clove garlic, minced"
8,0,,"salt and freshly ground black pepper to taste"
8,0.0625,cups,"olive oil"
8,1,pound,"lean ground beef"
8,0.0625,cups,"herbes de Provence"
8,0.021,cups,"ground nutmeg"
8,1,cups,"½ frozen peas"
9,0,cups,"½ butter (Judges 5:25)"
9,1,cups,"½ white sugar (Jeremiah 6:20)"
9,3,,"eggs (Isaiah 10:14)"
9,2,cups,"all-purpose flour (1 Kings 4:22)"
9,0.042,cups,"baking powder (Luke 13:21)"
9,0.021,cups,"ground cinnamon (1 Kings 10:10)"
9,0.021,cups,"ground mace (1 Kings 10:10)"
9,0.021,cups,"ground cloves (1 Kings 10:10)"
9,0.0,cups,"½ salt (Leviticus 2:13)"
9,0,cups,"½ water (Genesis 43:24)"
9,0.0625,cups,"honey (Proverbs 24:13)"
9,1,cups,"figs (1 Samuel 30:11)"
9,1,cups,"raisins (1 Samuel 30:11)"
9,0,cups,"½ almonds (Genesis 43:11)"
10,1,,"(8 ounce) package crescent roll dough, unrolled and divided into triangles"
10,1,,"(8 ounce) package reduced-fat cream cheese"
10,0,cups,"¼ light sour cream"
10,0,cups,"¼ light mayonnaise-style salad dressing (such as Miracle Whip®)"
10,0.1875,cups,"dry ranch dressing mix"
10,0,cups,"¼ diced red bell pepper"
10,0,cups,"¼ finely chopped broccoli florets"
10,0,cups,"⅓ shredded Cheddar cheese"
11,1,cups,"butter"
11,1,cups,"packed brown sugar"
11,0,cups,"½ white sugar"
11,0.021,cups,"vanilla extract"
11,2,,"large eggs"
11,2,cups,"½ all-purpose flour"
11,0.021,cups,"baking soda"
11,0.021,cups,"salt"
11,2,cups,"semisweet chocolate chips"
12,2,cups,"instant rice"
12,0,cups,"¼ butter"
12,0,cups,"¾ chopped onion"
12,2,,"(10 ounce) packages frozen chopped broccoli"
12,2,,"(10.5 ounce) cans condensed cream of mushroom soup"
12,1,,"(16 ounce) jar process cheese sauce"
12,0,,"salt to taste"
12,0,,"ground black pepper to taste"
13,1,pound,"cubed beef stew meat"
13,1,,"(10.5 ounce) can condensed golden mushroom soup"
13,0,cups,"½ chopped onion"
13,0,cups,"¼ water"
13,0.0625,cups,"Worcestershire sauce"
13,0.5,cups,"cream cheese, softened"
14,1,pound,"red potatoes"
14,1,pound,"Yukon Gold (yellow) potatoes"
14,1.5,cups,"baby carrots"
14,4,,"cloves garlic"
14,1,,"fresh jalapeño chile pepper, sliced"
14,1,,"(10 ounce) package frozen white corn, thawed"
14,0,cups,"¼ butter"
14,0,cups,"½ shredded Cheddar cheese"
14,0,,"salt and ground black pepper to taste"
15,1,,"(8 ounce) package cream cheese, softened"
15,1,cups,"sour cream"
15,2,,"(16 ounce) cans refried beans"
15,1,,"(8 ounce) package shredded Cheddar cheese"
15,1,,"(8 ounce) package shredded Monterey Jack cheese"
